,region,customer_lifetime_value,response,coverage,education,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
9766,north west,4594,no,basic,high school or below,jan,unemployed,f,34193,rural,married,63,11,10,1,3,personal auto,personal l2,offer4,call center,four-door car,medsize
9767,north west,2395,yes,basic,doctor,jan,disabled,f,21986,suburban,divorced,63,1,9,0,1,personal auto,personal l1,offer2,branch,two-door car,medsize
9768,central,4506,no,basic,bachelor,jan,disabled,f,14985,suburban,married,116,32,45,0,1,personal auto,personal l3,offer1,call center,sports car,medsize
9769,east,3339,no,extended,bachelor,jan,employed,f,38821,suburban,single,87,14,64,0,1,personal auto,personal l3,offer1,agent,two-door car,small
9770,west region,14137,no,basic,college,feb,employed,f,31794,suburban,divorced,119,12,16,0,2,personal auto,personal l3,offer1,agent,suv,medsize
9771,north west,10622,no,basic,bachelor,jan,employed,f,25634,rural,married,67,12,53,0,2,personal auto,personal l2,offer4,call center,four-door car,medsize
9772,north west,10881,no,extended,bachelor,feb,employed,m,73268,rural,married,137,30,35,0,3,personal auto,personal l3,offer3,agent,suv,medsize
9773,west region,23208,no,premium,high school or below,jan,employed,f,60233,urban,married,116,29,63,0,2,personal auto,personal l2,offer2,branch,two-door car,medsize
9774,north west,2744,no,basic,bachelor,feb,employed,m,94648,suburban,divorced,69,19,64,0,1,personal auto,personal l2,offer1,branch,four-door car,medsize
9775,central,5470,yes,extended,bachelor,feb,employed,f,54507,suburban,married,138,20,11,0,1,personal auto,personal l2,offer2,agent,suv,medsize
9776,west region,2713,no,basic,bachelor,jan,employed,f,31535,rural,single,70,27,46,0,1,personal auto,personal l2,offer4,branch,four-door car,medsize
9777,central,5368,no,basic,doctor,jan,employed,m,59601,suburban,married,67,28,2,0,6,personal auto,personal l3,offer4,branch,four-door car,medsize
9778,west region,4584,no,basic,college,jan,employed,m,85245,suburban,married,115,6,96,0,1,personal auto,personal l2,offer2,call center,sports car,large
9779,west region,15477,no,premium,college,jan,employed,m,51675,suburban,married,196,11,86,0,5,corporate auto,corporate l1,offer1,branch,four-door car,medsize
9780,north west,4836,no,basic,college,jan,unemployed,f,98573,suburban,single,69,12,89,0,8,personal auto,personal l1,offer1,agent,four-door car,small
9781,central,8858,no,extended,college,feb,unemployed,f,95282,rural,married,80,6,28,0,2,personal auto,personal l2,offer1,agent,two-door car,large
9782,north west,2895,no,basic,high school or below,feb,employed,f,72014,urban,married,72,24,58,0,1,personal auto,personal l1,offer2,agent,four-door car,medsize
9783,central,4349,yes,basic,college,feb,employed,f,75648,rural,married,108,28,10,0,1,personal auto,personal l1,offer2,branch,suv,large
9784,west region,5843,no,basic,college,jan,employed,m,77498,urban,single,74,17,10,0,5,personal auto,personal l3,offer1,branch,two-door car,medsize
9785,west region,3086,no,extended,college,jan,employed,f,73938,rural,married,76,34,48,0,1,personal auto,personal l3,offer4,call center,two-door car,medsize
9786,north west,2315,no,basic,bachelor,jan,unemployed,m,41198,suburban,single,73,14,39,1,1,corporate auto,corporate l3,offer1,branch,four-door car,medsize
9787,north west,5293,no,extended,bachelor,feb,employed,f,38521,urban,married,134,15,71,0,1,personal auto,personal l2,offer1,branch,suv,medsize
9788,west region,9747,no,extended,college,jan,unemployed,m,40644,suburban,divorced,92,7,89,0,2,personal auto,personal l3,offer1,agent,four-door car,medsize
9789,north west,2393,yes,basic,college,jan,unemployed,m,17314,suburban,single,70,15,10,0,1,personal auto,personal l1,offer1,branch,four-door car,medsize
9790,central,7860,no,basic,doctor,feb,disabled,m,21726,suburban,married,104,20,79,0,8,personal auto,personal l2,offer2,branch,suv,medsize
9791,west region,7089,no,extended,bachelor,jan,employed,m,28121,suburban,divorced,90,16,0,0,4,personal auto,personal l1,offer2,agent,two-door car,medsize
9792,north west,2453,yes,basic,bachelor,feb,medical leave,m,29735,suburban,single,69,3,92,0,1,personal auto,personal l2,offer1,agent,four-door car,medsize
9793,central,5358,no,extended,bachelor,jan,employed,f,83771,urban,married,133,26,18,0,1,personal auto,personal l3,offer4,web,sports car,medsize
9794,central,7028,no,basic,high school or below,jan,medical leave,f,18120,suburban,married,63,34,90,4,2,personal auto,personal l3,offer1,web,two-door car,small
9795,north west,7412,no,basic,college,jan,employed,f,52497,suburban,divorced,63,22,46,0,2,corporate auto,corporate l3,offer1,agent,two-door car,small
9796,west region,14914,no,basic,bachelor,feb,employed,f,45963,suburban,married,63,3,73,2,2,personal auto,personal l2,offer1,agent,four-door car,medsize
9797,north west,16414,no,basic,college,feb,unemployed,m,98615,suburban,married,112,11,9,0,2,special auto,special l1,offer1,web,suv,medsize
9798,west region,2742,no,basic,high school or below,jan,employed,f,64519,suburban,married,69,6,29,1,1,corporate auto,corporate l3,offer3,branch,four-door car,medsize
9799,central,5152,no,basic,bachelor,jan,unemployed,m,94363,suburban,married,68,7,31,0,7,corporate auto,corporate l1,offer2,web,four-door car,medsize
9800,north west,3771,no,basic,college,feb,unemployed,f,81158,suburban,married,103,25,16,1,1,personal auto,personal l3,offer1,branch,suv,medsize
9801,west region,2620,no,basic,bachelor,feb,medical leave,m,10237,urban,married,72,31,97,0,1,personal auto,personal l2,offer2,call center,two-door car,medsize
9802,north west,3146,no,extended,bachelor,feb,employed,f,28089,suburban,single,82,11,72,1,1,personal auto,personal l2,offer4,agent,two-door car,medsize
9803,central,10280,no,extended,high school or below,feb,employed,f,73661,urban,married,128,34,47,0,3,personal auto,personal l3,offer2,call center,suv,medsize
9804,central,3323,no,extended,high school or below,jan,disabled,f,12762,suburban,married,86,10,14,0,1,corporate auto,corporate l3,offer4,agent,two-door car,medsize
9805,central,6930,no,premium,college,feb,employed,m,29318,suburban,single,198,29,96,5,1,personal auto,personal l3,offer2,agent,suv,medsize
9806,central,2909,no,basic,high school or below,feb,employed,f,88944,rural,single,72,24,36,0,1,personal auto,personal l3,offer2,branch,four-door car,medsize
9807,north west,5528,no,basic,high school or below,feb,unemployed,f,93069,suburban,married,73,30,11,0,8,personal auto,personal l3,offer1,web,four-door car,medsize
9808,west region,2619,no,basic,bachelor,feb,employed,m,78618,urban,divorced,66,7,56,0,1,corporate auto,corporate l1,offer1,agent,two-door car,medsize
9809,west region,2888,no,basic,college,jan,employed,m,65412,rural,married,73,1,74,1,1,personal auto,personal l2,offer3,branch,four-door car,medsize
9810,west region,9043,no,basic,bachelor,feb,employed,f,97745,suburban,divorced,113,10,64,0,5,personal auto,personal l3,offer1,branch,sports car,medsize
9811,north west,9452,no,premium,bachelor,jan,employed,f,91942,suburban,married,117,34,61,0,3,personal auto,personal l3,offer3,agent,four-door car,medsize
9812,central,4717,no,extended,college,jan,unemployed,m,20357,suburban,married,131,0,80,0,1,personal auto,personal l1,offer2,agent,suv,large
9813,north west,7573,no,extended,high school or below,jan,employed,f,87615,suburban,married,94,35,63,0,3,personal auto,personal l2,offer3,branch,four-door car,medsize
9814,north west,2399,no,basic,master,feb,disabled,m,19112,urban,married,62,30,32,0,1,personal auto,personal l1,offer2,web,four-door car,medsize
9815,east,4526,no,basic,bachelor,jan,unemployed,f,82302,suburban,single,68,20,44,1,7,personal auto,personal l3,offer2,agent,four-door car,medsize
9816,east,5154,no,extended,high school or below,feb,employed,f,55645,suburban,divorced,129,23,33,0,1,personal auto,personal l1,offer1,call center,suv,medsize
9817,north west,2795,no,basic,master,jan,employed,m,85950,rural,divorced,69,5,61,0,1,personal auto,personal l3,offer4,web,four-door car,small
9818,west region,7434,no,extended,master,feb,employed,m,28377,suburban,married,94,26,99,0,3,personal auto,personal l1,offer2,call center,four-door car,medsize
9819,east,3549,no,extended,high school or below,jan,employed,m,36168,suburban,divorced,90,16,14,0,1,personal auto,personal l3,offer3,agent,four-door car,medsize
9820,central,15265,no,extended,high school or below,jan,employed,f,58361,rural,married,95,17,16,0,2,personal auto,personal l2,offer2,agent,four-door car,medsize
9821,central,3230,yes,extended,college,jan,employed,m,62873,urban,divorced,81,0,41,0,1,corporate auto,corporate l3,offer2,call center,four-door car,medsize
9822,central,2294,no,basic,high school or below,jan,unemployed,f,55058,suburban,married,62,11,56,0,1,personal auto,personal l2,offer4,branch,four-door car,medsize
9823,central,10103,no,extended,high school or below,jan,employed,f,46667,rural,single,129,27,84,1,3,corporate auto,corporate l2,offer1,branch,suv,large
9824,west region,3848,no,extended,high school or below,feb,employed,f,42589,suburban,divorced,98,8,73,0,1,corporate auto,corporate l1,offer1,agent,four-door car,medsize
9825,west region,8783,no,basic,high school or below,jan,disabled,f,16994,suburban,married,112,25,12,0,8,personal auto,personal l3,offer1,call center,suv,medsize
9826,west region,11533,no,extended,college,feb,employed,m,85339,urban,married,95,6,43,0,2,personal auto,personal l1,offer3,agent,four-door car,small
9827,east,7433,no,basic,high school or below,jan,employed,m,55561,urban,divorced,63,2,79,0,2,personal auto,personal l2,offer1,call center,four-door car,medsize
9828,north west,9033,no,basic,high school or below,feb,employed,f,30004,suburban,married,112,12,42,0,5,personal auto,personal l3,offer3,web,suv,medsize
9829,west region,5495,no,basic,college,jan,employed,m,25564,urban,divorced,71,29,58,0,6,personal auto,personal l3,offer1,agent,four-door car,medsize
9830,central,6810,no,basic,bachelor,jan,unemployed,m,56762,suburban,married,65,7,47,0,2,personal auto,personal l3,offer4,branch,four-door car,large
9831,west region,4178,no,basic,master,jan,employed,m,62113,rural,married,104,1,0,0,1,personal auto,personal l3,offer2,web,suv,medsize
9832,central,3839,no,basic,doctor,feb,unemployed,f,82310,suburban,divorced,112,3,51,2,1,personal auto,personal l2,offer1,agent,four-door car,medsize
9833,west region,10677,no,extended,college,jan,employed,f,45732,urban,married,134,22,56,0,9,corporate auto,corporate l2,offer1,call center,four-door car,small
9834,west region,5923,no,basic,bachelor,feb,employed,f,36685,suburban,married,74,15,25,0,5,corporate auto,corporate l1,offer1,branch,four-door car,medsize
9835,north west,2644,no,basic,bachelor,feb,employed,m,90443,urban,divorced,66,11,15,0,1,personal auto,personal l3,offer3,call center,two-door car,medsize
9836,west region,2376,no,extended,college,jan,unemployed,f,94087,suburban,single,91,2,8,5,1,personal auto,personal l1,offer1,agent,two-door car,medsize
9837,north west,2432,no,basic,high school or below,feb,unemployed,f,55548,suburban,single,69,2,50,0,1,personal auto,personal l3,offer4,web,four-door car,medsize
9838,central,5973,no,basic,bachelor,feb,employed,f,96163,suburban,married,73,23,90,0,3,corporate auto,corporate l3,offer1,call center,four-door car,medsize
9839,west region,5318,yes,basic,bachelor,jan,employed,f,25134,suburban,married,67,3,0,0,6,personal auto,personal l1,offer2,call center,four-door car,small
9840,central,15725,no,premium,bachelor,feb,unemployed,f,67155,suburban,single,149,16,70,0,2,corporate auto,corporate l1,offer1,web,two-door car,medsize
9841,west region,5384,no,basic,college,jan,employed,m,83689,urban,single,70,21,10,2,8,corporate auto,corporate l3,offer4,call center,four-door car,medsize
9842,west region,2409,no,basic,high school or below,jan,unemployed,m,63284,suburban,single,67,7,72,0,1,personal auto,personal l2,offer2,call center,two-door car,medsize
9843,central,4984,no,basic,college,feb,unemployed,f,70551,suburban,divorced,70,25,48,0,9,corporate auto,corporate l1,offer1,agent,four-door car,small
9844,central,25755,no,extended,high school or below,jan,unemployed,f,50584,suburban,married,81,3,60,2,2,personal auto,personal l2,offer4,call center,four-door car,small
9845,north west,5098,no,extended,bachelor,jan,unemployed,m,98246,suburban,single,97,20,9,4,7,personal auto,personal l3,offer1,agent,two-door car,medsize
9846,north west,5926,yes,extended,college,jan,retired,m,23091,suburban,married,96,28,90,5,5,personal auto,personal l3,offer1,agent,four-door car,medsize
9847,west region,17041,no,basic,high school or below,feb,disabled,f,22249,suburban,married,64,7,88,0,2,personal auto,personal l3,offer4,call center,four-door car,medsize
9848,north west,2810,no,basic,bachelor,feb,employed,m,26790,suburban,married,71,4,41,0,1,corporate auto,corporate l3,offer2,agent,two-door car,medsize
9849,central,2448,no,basic,bachelor,feb,employed,f,40658,rural,married,61,24,79,1,1,personal auto,personal l2,offer3,call center,four-door car,medsize
9850,west region,5067,no,extended,college,jan,employed,f,29095,suburban,married,127,2,80,0,1,personal auto,personal l2,offer4,agent,suv,medsize
9851,north west,3455,no,extended,college,feb,employed,m,68401,urban,divorced,88,14,14,0,1,personal auto,personal l1,offer2,agent,four-door car,medsize
9852,north west,15025,no,extended,bachelor,jan,employed,f,35158,rural,married,76,14,27,0,2,personal auto,personal l3,offer4,branch,four-door car,medsize
9853,central,2710,no,basic,bachelor,feb,employed,m,31998,suburban,married,69,31,70,0,1,corporate auto,corporate l3,offer3,branch,suv,medsize
9854,central,6883,no,extended,high school or below,feb,employed,f,84869,suburban,married,85,5,65,0,4,corporate auto,corporate l2,offer2,web,four-door car,medsize
9855,central,3063,no,extended,college,feb,unemployed,f,37185,suburban,single,95,14,57,2,1,personal auto,personal l2,offer1,agent,two-door car,medsize
9856,central,7288,no,extended,college,jan,employed,f,59414,urban,married,91,23,21,0,3,personal auto,personal l3,offer1,call center,two-door car,medsize
9857,central,4155,no,basic,bachelor,jan,unemployed,m,53533,suburban,single,62,8,20,0,7,corporate auto,corporate l3,offer2,agent,four-door car,medsize
9858,west region,27776,no,extended,bachelor,jan,employed,m,88220,rural,married,230,28,63,0,2,personal auto,personal l3,offer1,call center,luxury car,small
9859,west region,8685,no,basic,college,jan,employed,m,87544,suburban,married,109,28,92,1,3,corporate auto,corporate l1,offer2,branch,suv,small
9860,north west,3142,no,extended,college,jan,employed,f,60108,suburban,married,78,0,63,0,1,personal auto,personal l3,offer1,agent,four-door car,medsize
9861,east,6162,no,extended,high school or below,jan,unemployed,m,84818,suburban,single,89,4,24,0,4,personal auto,personal l2,offer1,agent,four-door car,medsize
9862,north west,3105,no,extended,high school or below,jan,employed,f,97234,urban,single,78,13,39,0,1,personal auto,personal l3,offer2,branch,suv,medsize
9863,west region,2921,no,basic,master,jan,employed,m,63499,urban,married,73,21,79,0,1,personal auto,personal l3,offer2,agent,four-door car,medsize
9864,central,36516,no,basic,college,feb,employed,m,89771,urban,married,114,5,83,0,2,personal auto,personal l3,offer1,agent,suv,medsize
9865,central,13197,yes,basic,college,jan,unemployed,f,96723,suburban,single,68,19,2,3,2,personal auto,personal l3,offer1,agent,four-door car,large
9866,north west,2693,no,basic,high school or below,feb,unemployed,f,21905,suburban,single,74,22,3,0,1,personal auto,personal l2,offer1,branch,four-door car,small
9867,east,8382,yes,basic,high school or below,feb,retired,m,19683,suburban,married,117,17,41,1,9,corporate auto,corporate l1,offer1,web,sports car,medsize
9868,west region,2542,no,basic,college,feb,employed,f,37072,suburban,married,64,1,1,0,1,personal auto,personal l3,offer3,call center,four-door car,large
9869,east,25360,no,basic,bachelor,jan,employed,m,21442,suburban,married,108,16,83,0,2,corporate auto,corporate l3,offer1,agent,suv,medsize
9870,central,7988,no,extended,high school or below,feb,employed,f,77330,rural,married,99,0,21,0,3,personal auto,personal l3,offer2,web,four-door car,medsize
9871,east,4422,no,basic,college,jan,employed,f,21124,suburban,married,112,3,37,0,1,corporate auto,corporate l3,offer4,web,suv,medsize
9872,north west,8207,no,basic,high school or below,feb,unemployed,f,60641,suburban,single,110,16,17,0,5,special auto,special l2,offer2,agent,sports car,medsize
9873,east,10656,yes,extended,bachelor,feb,employed,f,72540,suburban,married,88,7,3,0,2,corporate auto,corporate l3,offer2,call center,two-door car,medsize
9874,central,23295,no,basic,college,jan,employed,f,86481,urban,single,65,9,69,0,2,corporate auto,corporate l1,offer1,agent,two-door car,small
9875,central,8296,no,basic,doctor,feb,unemployed,m,17517,suburban,married,111,3,59,0,9,personal auto,personal l3,offer3,web,suv,medsize
9876,west region,19393,no,premium,college,jan,employed,f,70503,rural,divorced,164,11,11,1,2,corporate auto,corporate l3,offer1,agent,suv,medsize
9877,west region,21423,yes,basic,bachelor,jan,unemployed,m,22379,suburban,married,65,9,31,0,2,corporate auto,corporate l3,offer2,agent,two-door car,medsize
9878,west region,4943,no,basic,college,jan,employed,f,44762,rural,married,62,14,11,0,6,corporate auto,corporate l3,offer1,branch,four-door car,medsize
9879,north west,5245,no,basic,master,jan,employed,f,46061,rural,married,65,23,95,0,3,personal auto,personal l3,offer3,branch,two-door car,large
9880,west region,18939,no,basic,high school or below,jan,employed,f,21911,suburban,married,67,10,34,2,2,corporate auto,corporate l3,offer2,agent,four-door car,small
9881,central,26199,no,basic,bachelor,jan,employed,m,20346,suburban,married,74,13,57,0,2,corporate auto,corporate l2,offer3,agent,two-door car,medsize
9882,north west,28622,no,extended,college,jan,employed,m,35442,suburban,married,239,10,20,0,2,personal auto,personal l2,offer3,branch,luxury car,small
9883,central,15055,no,basic,college,feb,employed,m,83283,rural,single,193,11,46,1,3,personal auto,personal l2,offer3,branch,luxury car,medsize
9884,west region,7247,no,extended,college,feb,employed,f,63267,suburban,single,92,22,31,0,8,personal auto,personal l1,offer1,agent,four-door car,medsize
9885,central,8044,yes,basic,bachelor,feb,employed,m,71391,urban,married,67,29,39,0,2,personal auto,personal l3,offer2,agent,four-door car,medsize
9886,central,11315,yes,premium,bachelor,feb,disabled,f,11885,suburban,divorced,101,18,39,0,2,personal auto,personal l2,offer1,agent,four-door car,medsize
9887,west region,3979,no,basic,college,jan,employed,m,42633,urban,married,101,4,29,0,1,corporate auto,corporate l2,offer1,agent,suv,medsize
9888,central,7366,no,extended,high school or below,feb,employed,m,30250,urban,married,93,1,98,0,6,personal auto,personal l3,offer1,call center,four-door car,medsize
9889,north west,14014,no,basic,college,feb,employed,f,39018,suburban,married,117,11,94,0,2,personal auto,personal l2,offer3,branch,suv,small
9890,north west,5552,no,basic,college,feb,employed,f,35011,urban,married,70,7,91,0,8,personal auto,personal l3,offer4,call center,four-door car,large
9891,north west,2321,no,basic,college,jan,unemployed,f,96935,suburban,single,66,0,10,0,1,personal auto,personal l1,offer3,branch,two-door car,small
9892,north west,7779,no,basic,bachelor,jan,employed,f,90969,urban,single,65,7,22,0,2,personal auto,personal l2,offer1,agent,four-door car,medsize
9893,north west,13027,no,extended,college,feb,employed,f,76456,rural,single,83,27,34,1,2,personal auto,personal l3,offer4,web,four-door car,medsize
9894,central,8634,no,extended,college,feb,disabled,f,25073,suburban,single,79,3,84,0,2,personal auto,personal l3,offer1,branch,four-door car,medsize
9895,north west,2707,no,basic,college,jan,employed,m,80985,rural,married,67,0,52,0,1,personal auto,personal l3,offer3,agent,four-door car,medsize
9896,central,4048,no,premium,bachelor,feb,unemployed,f,18066,suburban,single,118,9,26,0,1,personal auto,personal l2,offer1,web,four-door car,small
9897,west region,40235,no,extended,master,jan,employed,f,77143,rural,married,125,5,49,3,2,personal auto,personal l3,offer1,agent,suv,small
9898,central,3771,no,basic,college,feb,unemployed,f,18423,suburban,married,103,25,16,1,1,personal auto,personal l3,offer1,branch,suv,medsize
9899,central,4479,no,basic,bachelor,feb,medical leave,m,18505,suburban,married,66,15,51,4,3,personal auto,personal l3,offer1,web,four-door car,medsize
9900,central,6613,no,basic,bachelor,jan,unemployed,f,44838,suburban,single,63,21,28,0,2,personal auto,personal l3,offer3,branch,four-door car,large
9901,east,2899,no,basic,college,jan,employed,f,65247,suburban,married,72,14,55,0,1,corporate auto,corporate l2,offer1,agent,four-door car,medsize
9902,west region,4814,no,basic,college,feb,unemployed,m,27048,suburban,single,67,17,4,0,4,personal auto,personal l3,offer2,agent,four-door car,medsize
9903,west region,2897,no,basic,college,jan,employed,m,75041,rural,single,74,30,42,0,1,personal auto,personal l2,offer3,agent,four-door car,medsize
9904,north west,7507,yes,basic,college,feb,employed,m,60920,urban,single,64,10,61,0,2,personal auto,personal l2,offer2,agent,two-door car,medsize
9905,west region,13749,no,premium,college,jan,employed,f,82753,rural,married,114,3,42,0,2,personal auto,personal l1,offer1,web,four-door car,medsize
9906,central,12741,yes,basic,bachelor,jan,employed,f,73054,urban,married,106,34,36,1,2,personal auto,personal l2,offer1,branch,suv,medsize
9907,north west,2803,no,basic,bachelor,feb,employed,f,60707,urban,married,70,2,24,0,1,corporate auto,corporate l2,offer2,web,four-door car,medsize
9908,north west,11599,no,extended,high school or below,feb,employed,f,67616,urban,married,96,25,17,0,2,personal auto,personal l3,offer3,agent,four-door car,medsize
9909,north west,9101,no,basic,college,feb,employed,m,48029,suburban,divorced,116,9,79,0,7,personal auto,personal l2,offer2,agent,suv,medsize
9910,west region,9955,no,extended,bachelor,jan,unemployed,m,99547,suburban,single,96,1,79,0,2,personal auto,personal l3,offer2,call center,four-door car,large
9911,central,2783,no,basic,bachelor,jan,employed,m,42297,urban,married,71,29,62,0,1,personal auto,personal l3,offer4,agent,four-door car,medsize
9912,west region,7614,no,extended,college,feb,employed,f,35045,urban,married,96,21,47,0,5,personal auto,personal l3,offer1,agent,four-door car,medsize
9913,central,7034,no,basic,bachelor,feb,employed,m,23158,suburban,married,63,31,46,3,2,personal auto,personal l2,offer2,branch,four-door car,small
9914,east,9901,no,extended,master,jan,unemployed,m,81408,suburban,married,134,24,51,0,3,personal auto,personal l2,offer1,agent,suv,small
9915,north west,3360,no,extended,master,feb,employed,m,74918,urban,single,85,13,74,0,1,special auto,special l1,offer4,branch,two-door car,medsize
9916,north west,6005,yes,extended,college,feb,retired,m,13528,suburban,single,86,21,35,0,3,personal auto,personal l2,offer1,agent,four-door car,medsize
9917,central,16301,yes,extended,master,feb,retired,f,19614,suburban,married,85,21,32,0,2,personal auto,personal l3,offer2,agent,two-door car,medsize
9918,north west,8271,no,basic,college,feb,employed,m,62912,rural,married,69,9,89,0,2,personal auto,personal l1,offer2,branch,two-door car,medsize
9919,west region,3681,no,extended,college,jan,unemployed,m,17842,urban,married,98,23,7,0,1,personal auto,personal l3,offer4,web,suv,medsize
9920,west region,25805,no,extended,high school or below,feb,employed,m,22711,suburban,married,82,8,74,0,2,personal auto,personal l2,offer2,branch,two-door car,medsize
9921,central,8810,no,premium,bachelor,feb,employed,f,76266,rural,single,110,24,88,1,3,personal auto,personal l1,offer1,branch,two-door car,medsize
9922,central,2224,no,basic,college,jan,unemployed,m,67763,suburban,single,68,3,4,0,1,personal auto,personal l3,offer2,web,four-door car,medsize
9923,west region,10593,no,extended,college,feb,employed,m,94042,suburban,married,132,13,67,0,9,corporate auto,corporate l2,offer4,branch,suv,medsize
9924,west region,2754,no,basic,high school or below,jan,employed,f,25151,urban,married,69,22,19,0,1,corporate auto,corporate l2,offer2,agent,four-door car,medsize
9925,north west,41787,yes,premium,high school or below,jan,employed,f,46587,suburban,divorced,119,34,74,2,2,personal auto,personal l3,offer1,call center,four-door car,medsize
9926,north west,6185,no,extended,college,feb,retired,m,28001,suburban,married,83,15,42,0,5,personal auto,personal l3,offer3,agent,two-door car,large
9927,west region,5565,no,basic,high school or below,feb,employed,m,74720,urban,divorced,70,15,99,0,3,personal auto,personal l3,offer1,agent,two-door car,medsize
9928,north west,5189,no,extended,bachelor,feb,employed,m,82166,suburban,single,134,9,43,3,1,personal auto,personal l2,offer4,agent,suv,large
9929,central,7890,no,premium,high school or below,jan,unemployed,f,76222,suburban,married,112,15,29,3,7,personal auto,personal l3,offer1,call center,four-door car,medsize
9930,north west,2886,yes,extended,high school or below,jan,retired,f,10312,suburban,married,78,10,63,0,1,personal auto,personal l1,offer2,agent,four-door car,large
9931,north west,8332,no,extended,college,jan,unemployed,m,99151,suburban,married,79,7,72,0,2,personal auto,personal l3,offer2,web,four-door car,medsize
9932,west region,2471,yes,basic,high school or below,jan,employed,m,95697,rural,married,61,16,55,0,1,special auto,special l3,offer2,agent,two-door car,medsize
9933,west region,20864,no,basic,college,jan,unemployed,f,84022,urban,married,61,22,94,0,2,special auto,special l3,offer1,branch,four-door car,medsize
9934,west region,6721,no,extended,college,jan,employed,f,36510,urban,married,84,10,36,0,6,personal auto,personal l3,offer1,call center,four-door car,medsize
9935,central,2661,no,basic,bachelor,jan,medical leave,f,24152,suburban,married,72,17,28,2,1,personal auto,personal l2,offer3,branch,four-door car,large
9936,north west,2337,no,basic,bachelor,feb,unemployed,m,18943,suburban,single,65,31,52,0,1,corporate auto,corporate l3,offer2,agent,four-door car,small
9937,central,4819,no,basic,college,feb,employed,m,74730,suburban,single,61,18,84,0,6,personal auto,personal l3,offer2,branch,four-door car,small
9938,west region,7284,yes,extended,college,jan,employed,f,44605,suburban,married,91,35,45,0,7,personal auto,personal l3,offer1,branch,four-door car,medsize
9939,west region,8434,no,basic,bachelor,feb,employed,m,44216,rural,married,71,24,36,0,2,personal auto,personal l2,offer1,agent,four-door car,large
9940,central,8640,no,basic,bachelor,jan,employed,f,33402,rural,married,109,7,66,0,4,personal auto,personal l3,offer1,web,suv,small
9941,west region,5881,no,basic,high school or below,jan,employed,f,86812,rural,married,73,1,11,0,3,personal auto,personal l3,offer4,agent,four-door car,small
9942,north west,2810,yes,basic,bachelor,feb,employed,m,26790,suburban,married,71,4,41,0,1,corporate auto,corporate l3,offer2,agent,two-door car,medsize
9943,west region,2859,no,basic,college,jan,employed,m,98879,rural,single,73,14,33,1,1,personal auto,personal l3,offer4,call center,four-door car,medsize
9944,west region,18939,no,basic,high school or below,jan,employed,f,21911,suburban,married,67,16,34,0,2,corporate auto,corporate l3,offer2,agent,four-door car,small
9945,central,24338,no,basic,high school or below,feb,employed,f,73692,rural,married,67,1,10,0,2,personal auto,personal l1,offer2,branch,two-door car,medsize
9946,west region,3075,no,extended,bachelor,jan,employed,m,65017,urban,married,81,8,16,4,1,personal auto,personal l2,offer2,web,four-door car,small
9947,west region,6165,no,extended,bachelor,jan,unemployed,f,36143,suburban,single,88,12,54,0,6,special auto,special l2,offer3,web,two-door car,small
9948,central,17738,no,basic,high school or below,jan,employed,f,65348,rural,married,110,35,58,0,2,corporate auto,corporate l1,offer1,branch,sports car,medsize
9949,east,7298,no,basic,bachelor,jan,employed,m,74069,urban,divorced,63,33,81,2,2,personal auto,personal l3,offer1,agent,two-door car,medsize
9950,north west,3649,no,extended,high school or below,feb,medical leave,m,19013,suburban,married,95,1,58,0,1,corporate auto,corporate l1,offer3,call center,four-door car,medsize
9951,west region,7451,no,basic,bachelor,jan,unemployed,m,49866,suburban,single,107,6,63,0,8,personal auto,personal l3,offer1,agent,suv,medsize
9952,north west,5143,no,basic,bachelor,feb,employed,m,39268,urban,married,66,30,96,1,9,personal auto,personal l1,offer1,agent,four-door car,medsize
9953,east,5609,no,basic,college,jan,employed,f,44705,rural,divorced,71,21,63,0,6,personal auto,personal l2,offer1,branch,two-door car,medsize
9954,central,2840,no,extended,college,feb,unemployed,f,72486,suburban,single,80,3,99,1,1,personal auto,personal l3,offer1,branch,two-door car,medsize
9955,central,8807,no,extended,high school or below,feb,disabled,f,26864,suburban,divorced,78,18,12,0,2,special auto,special l1,offer3,agent,four-door car,medsize
9956,north west,9552,no,extended,college,feb,employed,f,97732,urban,married,79,0,70,0,2,personal auto,personal l3,offer4,branch,four-door car,medsize
9957,central,9032,no,extended,bachelor,jan,unemployed,f,41652,rural,married,82,24,21,0,2,personal auto,personal l1,offer1,branch,luxury car,medsize
9958,west region,8738,no,basic,doctor,feb,employed,m,91890,rural,married,107,30,28,0,7,personal auto,personal l2,offer3,agent,suv,small
9959,north west,11064,no,extended,high school or below,feb,employed,m,29484,suburban,married,93,19,51,0,2,personal auto,personal l2,offer2,branch,two-door car,medsize
9960,west region,16473,yes,basic,bachelor,feb,retired,m,22828,suburban,married,106,11,54,0,2,personal auto,personal l2,offer1,agent,suv,medsize
9961,north west,7281,no,basic,college,jan,unemployed,m,76066,suburban,divorced,103,12,43,0,3,personal auto,personal l3,offer2,call center,suv,medsize
9962,east,7863,no,basic,college,feb,unemployed,f,11997,suburban,divorced,72,9,28,0,2,corporate auto,corporate l3,offer1,branch,two-door car,small
